Question,Date,Answer,T,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology,,
What autograding software do folks use for Java code?,23/01/2017,8,t,,,,,,,,,,,,,,,,,,1,,,,,597
Is it possible to ensure division of labor on a group assignment?,23/05/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Objects Lab Before Inheritance and Polymorphism,23/05/2017,11,t,1,,,1,,,,,,,,,,,,,,,,,,,
Teaching Induction to Prove the Correctness of Algorithms,23/05/2017,3,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Should the first Programming/Algorithms class be taught in pseudo-code?,23/05/2017,9,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Cheating on labs,23/05/2017,11,t,,,,1,,1,,,,,,,,,,,,,,,,,
Analogy for teaching recursion,23/05/2017,31,t,,,,1,,,,1,,,,,,,,,,,,,,,
Using Processing as an entry point in an Introductory Course,23/05/2017,6,t,,,,,,,,,,,,,,,,,,,,,,,
Should assembly language be taught in an introductory course (or soon after)?,23/05/2017,12,t,,,,1,,,,,,,,,,,,,,,,,,,
How can I convey the idea of a programming language vs. a markup language?,23/05/2017,8,t,1,,,1,,,,1,,,,,,,,,,,,,,,
"When teaching Web Development, should server or client side come first?",23/05/2017,10,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Recommended IDE for teaching web development to beginners,23/05/2017,10,t,,,,1,,,,1,,,,,,,,,,1,,,,,
What are effective approaches for teaching dynamic programming?,23/05/2017,3,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Using microcontrollers in an Introductory course,23/05/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
When should concurrency and parallel multi-processing concepts be introduced?,23/05/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
What are pre-requisites for teaching version control to a high school CS class?,23/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
How does one create a balanced AI curriculum in light of the popularity of Deep Learning?,23/05/2017,2,t,1,1,,1,,,,,,,,,,,,,,,1,,,,
How can I integrate teaching source code control (Git/Mercurial/etc) into my introductory CS class?,23/05/2017,2,t,,,,,,,,,,,,,,,,,,,,,,,
Do automatic style hints help students to understand the language they're learning?,23/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to raise students' security awareness in programming?,23/05/2017,6,t,1,,,1,,,,,,,,,,,,,,,,,,,
