Question,Class
What is the best layout for a Middle School computer lab?,CS
Is it worthwhile for college professors to join SIGCSE?,CS
Is it worth it for high school teachers to join SIGCSE?,CS
Who should own the intellectual property on a program developed in classes?,CS
How should I advise an undergraduate who wants a career teaching CS?,CS
What can CS educators do to help teachers of other subjects include computing in their teaching?,CS
How to answer questions about how I became interested in programming?,CS
Should we merge technology departments with the science departments?,CS
How to structure a Predictive Keyboard project similar to GBoard,CS
How is computer science  and education  different today than some decades ago?,CS
C# Array Lesson Plan,CS
What to do when pupil destroy lab equipment?,CS
Programming exercise Tagging,CS
Would you mentor other people for free/voluntary donations?,CS
Suggested fliers for high school career fair?,CS
In what branch of science does technology belong?,CS
How can I credit to sources I ll use for my paid or free video tutorials on YouTube or Udemy?,CS
Data science tutoring without just doing my student s homework,CS
Android Course  XML or Compose?,CS
How can we tailor a large language model for educational purposes by incorporating instructional and pedagogical-specific skills and knowledge?,CS
Could anyone test and criticize my automaton simulator?,CS
Using Processing as an entry point in an Introductory Course,CS
How to get girls more interested in computer science?,CS
Do your students pay attention when you speak?,CS
Test takings strategy tragedy,CS
How do I deal with students being unkind to each other when I m not there?,CS
"In programming courses, should homework grading be the job of the TA or the professor?",CS
Suspicious activity in GitHub Classroom,CS
What autograding software do folks use for Java code?,CS
Is it possible to ensure division of labor on a group assignment?,CS
Should assembly language be taught in an introductory course  or soon after ?,CS
Using microcontrollers in an Introductory course,CS
When should concurrency and parallel multi-processing concepts be introduced?,CS
Explaining basic html structure,CS
How to encourage participation in the national olympiad in informatics?,CS
The use of the Octal system,CS
Designing rubrics for AP Computer Science-style free response questions,CS
What is a good analogy for the Object Oriented paradigm?,CS
Programming curriculum for elderly students,CS
Dealing with students who complete labs very quickly,CS
Is it more effective to teach low level languages before high level ones or vice versa?,CS
Real life examples of 0-indexing,CS
Ruby backend framework choice  Ruby on Rails vs Sinatra,CS
Encourage students to be independent,CS
How can I discourage poor design while using automatic grading of submissions?,CS
How to avoid getting emotionally attached to my students  projects?,CS
Analogy for static objects  or members ,CS
Workflow for Code Submission,CS
Simple Pointer Examples in C,CS
"Note-taking policy  laptops, or by hand?",CS
Supplementing Curriculum with Online Resources,CS
Video Games during class,CS
Video Games during class,CS
Excel macro recorder exercises,CS
"Significant algorithm from CS for DrRacket that emphasize cons, car, and cdr",CS
Introducing self containing objects  Node ,CS
How to provide individual grades for group project work?,CS
Instructional Methods for In-class Code Demos,CS
Problematic student at a very high level,CS
Demographics in Programming Teams in Early CS Courses,CS
Colors in Blocks-based Languages,CS
Suggestions for encouraging good Coding Practices?,CS
How can I incorporate agile development into CS1/CS2 courses?,CS
Genetic Algorithm enrichment lesson,CS
Why is the critical-section problem always presented with code in infinite loops?,CS
Deep Learning Teaching Resources,CS
Homework Policy for Advanced/Honors Students,CS
How to teach students not to use jump statements,CS
Teaching identifier naming conventions,CS
The importance of writing understandable code [duplicate],CS
Teaching Other Markup Languages,CS
Should CS students be doing their tests on paper?,CS
How to teach to write optimized code,CS
Interview lesson on Computational Thinking,CS
Justification for an objects early approach to introductory programming,CS
Opportunities for Interdepartmental Collaboration,CS
Looking for a block-based programming language for AP CS P,CS
Thoughts on copying and pasting code?,CS
When should I scrap my projector for a blackboard?,CS
What would be a good first choice to teach game programming to beginners?,CS
Do you see the Bimodal Distribution too?,CS
What to gather feedback on?,CS
How to teach the value of the command line in high school?,CS
Do you use any teaching assistant tool in your CS1 lab classes?,CS
Should unit testing be taught in introductory programming classes?,CS
How do I scaffold students toward building meaningful projects?,CS
What statistics should be in a computer science degree?,CS
How to deal with very low performing students?,CS
Is asking students to debug existing code better than having them write new code?,CS
How important is learning Binary for first-year college students?,CS
Priority Queue practice vs examples,CS
To what extent should UML be covered in the context of a degree?,CS
Balance between teaching and projects in a club,CS
How do I teach ethics in hacking using analogies?,CS
Should test cases be made available to students for assessed assignments?,CS
How should floating point inaccuracies be explained and justified?,CS
Starting open source,CS
Curriculum Design for a Unit on Alan Turing and His Impact on CS,CS
Multi-client to server connection demonstration using analogy,CS
How to prepare students for bias in industry,CS
Uses of high school Computer Science  where can it lead other than university CS?,CS
Dealing with students who are overly motivated,CS
How can I prepare CS majors for non-programming jobs?,CS
Explaining access levels and visibility in OOP,CS
Event-driven or polling for beginning programming environments?,CS
How should educators ensure their curriculum remains relevant over time?,CS
Teaching math function vs. CS function,CS
How do I teach math equality vs. CS assignment vs. CS equality logic operator?,CS
Teaching  CS integer  vs.  math integer ,CS
How to adapt pair programming to a shared terminal environment like Cloud9?,CS
Classroom use of a limited port scan in the wild?,CS
What would be a good analogy for IP addresses and ports?,CS
How can I convince my fellow CS teachers that reaching every student is a worthwhile goal?,CS
How important is  delivering the content  of a course?,CS
Do Python and Java lead students to construct different mental models of memory?,CS
Lambda expressions exercises and practice,CS
What advantages/disadvantages have you seen with Pair Programming in the classroom,CS
Good datasets for intro CS courses?,CS
Is there a compilation of AP CSP scores by curriculum?,CS
How should students be encouraged to reflect and improve after summative assessment?,CS
How do you encourage students to take criticism of their code constructively?,CS
What is a good analogy to introduce databases and SQL?,CS
What are the benefits/uses of a SMART Board in CS education  or are there none ?,CS
The impact of switching to Java 10,CS
Should teachers enforce standardization of spacing and braces?,CS
Should Java Static space and Memory Model be a part of AP CS,CS
How to tell a student that s/he should enroll in a different program?,CS
What should a teacher do with information about plagiarism before the final submission,CS
Best practices for letters of recommendation in CS,CS
Avoiding difficulties when teaching with metaphors and analogies,CS
Working with students with specific secondary skill,CS
What are good models for an Honors Program for CS students?,CS
What would be reasonable to include in an Introduction to AI class for a 7th-8th grade after school program?,CS
"How to make term reports, easy to do  and secondly effective, and accurate ",CS
Advances in CS appropriate for CS1 and CS2 made by female computer scientists,CS
"When a student submits a work that is a copy from a colleague, should you also punish the student that made the work?",CS
Best puzzle type to foster logical thinking,CS
Teaching the humble for loop,CS
Teaching the tradeoffs of the foreach loop,CS
Is it important to teach pointers in a first course using Java?,CS
Is SICP appropriate for an advanced high school CS course?,CS
How can I help students develop intuition about a programming language?,CS
What  procedural  habits to break when teaching  functional  programming?,CS
Lesson ideas for introducing macros in C,CS
Active learning for boolean algebra,CS
Lesson plan for teaching java graphics,CS
Placement of App Inventor in high school CS curriculum,CS
Order to Teach Topics in an Intro Programming Class,CS
How do I explain blockchain using an analogy?,CS
Framework choice for AP CS A students  Swing or JavaFX?,CS
Teaching high-level versus low-level concepts,CS
The order of subjects in beginner s curriculum,CS
Working around language quirks,CS
Testing students on recursion - tracing by hand / unplugged,CS
Avoiding confusion about precedence,CS
The Tao of TeaChing  Making Mistakes in Front of the Class ,CS
Explaining why styling should not be done directly in HTML,CS
What should be in a CyberSecurity Course in secondary school?,CS
How do I teach about inequity in computing resources?,CS
Does/should a CS education include information about responsible use of human subjects in research,CS
What is a good way to explain computer viruses?,CS
What ethical practices do students  as potential software engineers  need to be trained in?,CS
What s a good initial lesson for teaching arduino?,CS
"What are some good real-life examples of pipelining, latency, and throughput?",CS
Should students be taught to be first and foremost  scientists or mathematicians?,CS
Books to use for iOS App Development,CS
How to best use lab periods,CS
What is a good design for a Capstone Course in CS?,CS
What part does formal Ethics training play in your curriculum?,CS
Using zyBooks and labs,CS
Incorporating algorithmic complexity in grading,CS
Strategies for independent learners to identify gaps in their knowledge,CS
Ways to advance the field of computer science education as a non-researcher,CS
"Teaching OOP in Java, to students who already know Java",CS
Independent research on bootcamp job placement claims,CS
How to introduce Scala to a team of Java developers without being boring?,CS
Techniques for encouraging pair programming,CS
Exercises for teaching GUI / Windows interaction basics,CS
Introducing Pair Programming,CS
Distance or Part-Time Graduate/Doctoral Study,CS
Paper Books or eBooks?,CS
Tools or methods to make projected code easier to follow,CS
What professional development events or conferences are out there for CS educators?,CS
Intensive basic VBA course - which variables to teach?,CS
How many lines does your code have?,CS
Finishing College with Employable Skills,CS
IDE vs Editor and terminal for CS1,CS
Workshops on Cloud  Azure ,CS
How can we motivate students to review each other s code?,CS
How can I effectively manage peer evaluation among my students?,CS
Good example of what isn t a system call?,CS
What could be the possible advantages of teaching Scheme as first programming language?,CS
Choosing Java-like language for teaching web development,CS
Plagiarism checks for source code,CS
Is there any purpose to having students do fiddly cache homework assignments?,CS
To plan or not to plan that is the question,CS
Show students the consequences of their design decisions,CS
