Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Reason behind the dominance of particular countries in the IMO (International Mathematical Olympiad),02/01/2017,1,n,,,,1,,,,,,,,,,,,,,,,,
"Are the following topics usually in an introductory Complex Analysis class: Julia sets, Fatou sets, Mandelbrot set, etc?",07/01/2017,3,n,,,,,,,,,,,,,,,,,,,1,,
Finding the correct mathmatics based on application as opposed to the other way around?,25/01/2017,0,n,,,,,,,,,,,,,,,,,,,,,
Mathematical difficulty,28/01/2017,3,n,,,,,,,,1,,,,,,,,,,,,,
"Proper ordering of phrase ""multiplied by""",30/01/2017,3,n,,,,,,,,,,,,,,,,,,,,,1
Why are calculators not allowed in post-secondary exams?,13/02/2017,10,n,,,,,,,,,,,,,,,,,,,,,
How should I introduce the concept of a function to a precalculus student?,14/04/2017,7,n,,,,,,,,,,,,,,,,,,,,,
how to prove my 6th grade son knows algebra 1?,22/04/2017,1,n,,,,,,,,,,,,,,,,,,,,,
How many secondary-school students are working on achieving independent understanding?,28/04/2017,0,n,,,,,,,,,,,,,,,,,,,,,
Why are percentages part of the curriculum?,01/05/2017,7,n,,,,,,,,,,,,,,,,,,,1,,
What is the mathematical value of children learning and being tested on Roman numerals?,12/05/2017,13,n,,,,,,,,,,,,,,,,,,,1,,
Trig Tables and Right Triangles,25/05/2017,1,n,,,,,,,,,,,,,,,,,,,,,
Inspirational Mathematics Books for Teenager,06/06/2017,5,n,,,,,,,,,,,,,,,,,,1,,,
Need scientific source to prove the difference between arithmetics/calculus and real mathematical skills,22/06/2017,2,n,,,,,,,,,,,,,,,,,,,,,
Source for analysis of identification of structures in learner's mind and mathematical structures?,25/06/2017,3,n,,,,,,,,,,,,,,,,,,,,,
Learning operator priorities by drawing trees,05/07/2017,5,n,,,,,,,,1,,,,,,,,,,,,,
Does solving crosswords help with recall of definitions?,14/07/2017,2,n,,,,,,,,,,,,,,,,,,,,,
Why don't textbooks explain proofs' discovery?,10/08/2017,5,n,,,,,,,,,,,,,,,,,,,,,
Is Calculus Necessary?,11/08/2017,4,n,,,,,,,,,,,,,,,,,,,1,,
"Is MacLane and Birkoff's ""Algebra"" suitable today as either an undergraduate or graduate text in abstract algebra?",02/09/2017,1,n,,,,,,,,,,,,,,,,,,,,,
Am I too formal teaching this middle school student?,15/09/2017,4,n,,,,,,,,1,,,,,,,,,,,,,
What science books would you recommend a curious middle school student to read at home?,22/09/2017,4,n,,,,,,,,,,,,,,,,,,1,,,
Why are fractions taught before negative numbers?,29/09/2017,1,n,,,,,,,,,,,,,,,,,,,1,,
How to control for numerical factor in mathematics education research?,30/09/2017,0,n,,,,,,,,,,,,,,,,,,,,,
Looking for online abstract algebra courses making use of computer algebra systems,12/10/2017,1,n,,,,,,,,,,,,,,,,,,1,,,
Topology presentation for middle school,26/10/2017,3,n,,,,,,,,,,,,,,,,,,1,,,
Sites/books with math problems for bright 5th graders,28/10/2017,3,n,,,,,,,,,,,,,,,,,,1,,,
Where can I find primary sources from the New Math movement in the 60s?,03/11/2017,1,n,,,,,,,,,,,,,,,,,,1,,,
Looking for a video about arithmetic disappearing in a few years,08/11/2017,1,n,,,,,,,,,,,,,,,,,,1,,,
What are the reasons for “math fear”?,21/11/2017,6,n,,1,,,,,,,,,,,,,,,,,,,
"Compare depth and scope of math syllabus between Malaysia's STPM, Gao Kao and A level",21/11/2017,0,n,,,,,,,,,,,,,,,,,,,1,,
What's the age recomendation for my app?,27/11/2017,0,n,,,,,,,,,,,,,,,,,,,,,
What's the best technique to do math calculations in my head?,01/12/2017,7,n,,,,,,,,,,,,,,,,,,,,,
What is the required mathematical background of a US elementary school math teacher?,01/12/2017,5,n,,,,,,,,,,,,,,,,,,,,,
Is there a class curriculum that studies the work of a mathematician?,07/12/2017,1,n,,,,,,,,,,,,,,,,,,1,,,
Why is set theory not taught at the outset of math education?,18/12/2017,4,n,,,,,,,,,,,,,,,,,,,1,,
"What does math teach students who won't need university-level math, that Logic can't?",18/12/2017,1,n,,,,,,,,,,,,,,,,,,,1,,
How can a layperson learn to intuit exponential growth?,27/12/2017,1,n,,,,,,,,,,,,,,,,,,,,,
Experimental results about the variability of grades on a math exam,29/12/2017,1,n,,,,,,,,,,,,,,,,,,,,,
Why is multiplication taught using cross notation at first?,30/12/2017,5,n,,,,,,,,,,,,,,,,,,,,,1
Is there a study that proves that math proficients usually perform better in other subjects vs. people who perform shoddily in math?,14/01/2018,1,n,,,,,,,,,,,,,,,,,,,,,
Is there any high school level summer program that teaches Analysis?,22/01/2018,1,n,,,,,,,,,,,,,,,,,,1,,,
Adding one to numbers bigger than ten,05/02/2018,0,n,,,,,,,,,,,1,,,,,,,,,,
Concentrations of Adult Math Phobia,07/02/2018,1,n,,,,,,,,,,,,,,,,,,,,,
What exactly does 'abstract' signify in a course like Harvard's Math 55 (Honors 1st yr)?,11/02/2018,1,n,,,,,,,,,,,,,,,,,,,,,1
"What explains why a student can learn philosophy well, but fail in abstract math?",12/02/2018,2,n,,1,,,,,,,,,,,,,,,,,,,
"Who actually uses ii, jj, kk for the standard unit vectors?",04/03/2018,4,n,,,,,,,,,,,,,,,,,,,,,1
When should the limit be introduced?,09/03/2018,1,n,,,,,,,,,,,,,,,,,,,1,,
"Regions in which ""a×ba×b"" is read aloud as ""aa onto bb"" rather than ""aa times bb""",16/03/2018,1,n,,,,,,,,,,,,,,,,,,,,,1
Associate Degree in Mathematics,14/04/2018,1,n,,,,,,,,,,,,,,,,,,,1,,
Why do the stages of rigorousness have specific timestamps?,16/04/2018,1,n,,,,,,,,,,,,,,,,,,,,,
Is higher-math pedagogy responding properly to Wolfram Alpha's existence?,02/05/2018,2,n,,,,,,1,,,,,,,,,,1,,,,,
