ID,Question,Date,Class
1,What autograding software do folks use for Java code?,23/01/2017,CS
2,Is it possible to ensure division of labor on a group assignment?,23/05/2017,CS
3,Objects Lab Before Inheritance and Polymorphism,23/05/2017,CS
4,Teaching Induction to Prove the Correctness of Algorithms,23/05/2017,CS
5,Should the first Programming/Algorithms class be taught in pseudo-code?,23/05/2017,CS
6,Cheating on labs,23/05/2017,CS
7,Analogy for teaching recursion,23/05/2017,CS
8,Using Processing as an entry point in an Introductory Course,23/05/2017,CS
9,Should assembly language be taught in an introductory course (or soon after)?,23/05/2017,CS
10,How can I convey the idea of a programming language vs. a markup language?,23/05/2017,CS
11,"When teaching Web Development, should server or client side come first?",23/05/2017,CS
12,Recommended IDE for teaching web development to beginners,23/05/2017,CS
13,What are effective approaches for teaching dynamic programming?,23/05/2017,CS
14,Using microcontrollers in an Introductory course,23/05/2017,CS
15,When should concurrency and parallel multi-processing concepts be introduced?,23/05/2017,CS
16,What are pre-requisites for teaching version control to a high school CS class?,23/05/2017,CS
17,How does one create a balanced AI curriculum in light of the popularity of Deep Learning?,23/05/2017,CS
18,How can I integrate teaching source code control (Git/Mercurial/etc) into my introductory CS class?,23/05/2017,CS
19,Do automatic style hints help students to understand the language they're learning?,23/05/2017,CS
20,How to raise students' security awareness in programming?,23/05/2017,CS
21,What to consider when choosing version of Python?,23/05/2017,CS
22,"In a course about Turing machines, how many questions like  Construct a Turing Machine that does X  should I include?",23/05/2017,CS
23,Should I have written tests on basic programming skills?,23/05/2017,CS
24,Should I teach modern web development in an introductory programming course? How?,23/05/2017,CS
25,Best Practices / Effective Strategies For Building Diversity In High School CS Programs,24/05/2017,CS
26,Scheme vs Haskell for introducing functional programming,24/05/2017,CS
27,What qualities should be considered when designing a front end project?,24/05/2017,CS
28,What can Snap! do that Scratch cannot?,24/05/2017,CS
29,Explaining basic html structure,24/05/2017,CS
30,How to encourage participation in the national olympiad in informatics?,24/05/2017,CS
31,"Database theory (normalization) for beginners (adult education, MS Access)",24/05/2017,CS
32,How to get girls more interested in computer science?,24/05/2017,CS
33,How to teach the importance of indentation,24/05/2017,CS
34,How to explain to people the importance of algorithms in computer programming?,24/05/2017,CS
35,The use of the Octal system,24/05/2017,CS
36,Designing rubrics for AP Computer Science-style free response questions,24/05/2017,CS
37,What is a good analogy for the Object Oriented paradigm?,24/05/2017,CS
38,Command-line Java in AP CS A,25/05/2017,CS
39,Programming languages specifically designed for beginners,25/05/2017,CS
40,How can I maintain interest in front end?,25/05/2017,CS
41,Presenting Mapping Reducibility (for P vs NP),25/05/2017,CS
42,What are the merits of including the history of computers in the entry level curriculum?,25/05/2017,CS
43,Do I need Prolog to teach logic concepts?,25/05/2017,CS
44,"How do you structure broad, open-ended, freely chosen projects so that students use class time wisely?",26/05/2017,CS
45,Teaching students to hunt for and debug their own errors,26/05/2017,CS
46,Programming curriculum for elderly students,26/05/2017,CS
47,Dealing with students who complete labs very quickly,26/05/2017,CS
48,"Lesson Idea: Arrays, Pointers, and Syntactic Sugar",27/05/2017,CS
49,Is it more effective to teach low level languages before high level ones or vice versa?,27/05/2017,CS
50,Real life examples of 0-indexing,27/05/2017,CS
51,Ruby backend framework choice: Ruby on Rails vs Sinatra,27/05/2017,CS
52,Encourage students to be independent,27/05/2017,CS
53,Self guided learning about audio processing,27/05/2017,CS
54,How can I discourage poor design while using automatic grading of submissions?,28/05/2017,CS
55,How to avoid getting emotionally attached to my students' projects?,28/05/2017,CS
56,Analogy for static objects (or members),28/05/2017,CS
57,Workflow for Code Submission,29/05/2017,CS
58,Introducing A* Search Algorithm,30/05/2017,CS
59,Are userscripts a good teaching tool?,30/05/2017,CS
60,Simple Pointer Examples in C,30/05/2017,CS
61,Effectiveness of Parsons Problems,30/05/2017,CS
62,How to illustrate scope problem when creating variables inside `if` statements in Java,30/05/2017,CS
63,"Note-taking policy: laptops, or by hand?",01/06/2017,CS
64,Supplementing Curriculum with Online Resources,01/06/2017,CS
65,Video Games during class,01/06/2017,CS
66,Computers are down; what's in your bag of tricks for teaching CS when they can't get on a computer?,01/06/2017,CS
67,Final exam advice,01/06/2017,CS
68,What makes imperative programming easier or harder to learn?,01/06/2017,CS
69,Assignments for Introductory Level Processing,02/06/2017,CS
70,"What program follows  hello, world ?",02/06/2017,CS
71,Excel macro recorder exercises,02/06/2017,CS
72,Assessing programming skills of students under 18 years,02/06/2017,CS
73,What are good sample programs for learning to use a debugger?,02/06/2017,CS
74,"Significant algorithm from CS for DrRacket that emphasize cons, car, and cdr",03/06/2017,CS
75,In-class server access limits,03/06/2017,CS
76,Introducing self containing objects (Node),03/06/2017,CS
77,Basic OOP practice exercises for inheritance and polymorphism,03/06/2017,CS
78,How to provide individual grades for group project work?,03/06/2017,CS
79,Most beneficial CodingBat problems for AP CS A FRQs,04/06/2017,CS
80,Teaching coding paradigms and concepts with specific context,04/06/2017,CS
81,How can I show the value of best practices?,04/06/2017,CS
82,Teaching loop invariant choice,05/06/2017,CS
83,Good beginning assembly language for teaching about stack function calls,05/06/2017,CS
84,Scope and Sequence for Raspberry Pi Course,05/06/2017,CS
85,Instructional Methods for In-class Code Demos,06/06/2017,CS
86,Problematic student at a very high level,06/06/2017,CS
87,Demographics in Programming Teams in Early CS Courses,06/06/2017,CS
88,What are good projects for metaprogramming?,07/06/2017,CS
89,Colors in Blocks-based Languages,07/06/2017,CS
90,How to respond when students ask  is recursion good practice ?,07/06/2017,CS
91,Suggestions for encouraging good Coding Practices?,07/06/2017,CS
92,How can I incorporate agile development into CS1/CS2 courses?,07/06/2017,CS
93,What are good/bad topics for a non-major CS0 course?,07/06/2017,CS
94,Genetic Algorithm enrichment lesson,08/06/2017,CS
95,Why is the critical-section problem always presented with code in infinite loops?,08/06/2017,CS
96,Learning about the Blockchain,08/06/2017,CS
97,Deep Learning Teaching Resources,08/06/2017,CS
98,Homework Policy for Advanced/Honors Students,09/06/2017,CS
99,How to teach students not to use jump statements,09/06/2017,CS
100,Teaching identifier naming conventions,09/06/2017,CS
101,The importance of writing understandable code [duplicate],09/06/2017,CS
102,Analogy for abstract classes,09/06/2017,CS
103,Teaching Other Markup Languages,09/06/2017,CS
104,How to teach which loop should be used,10/06/2017,CS
105,Explaining how an Interface is a contract,11/06/2017,CS
106,Teaching with just a single Makey Makey and Sphero,11/06/2017,CS
107,What is a good analogy for pass by value vs by reference?,11/06/2017,CS
108,How can I set up Eclipse/eGit/GitHub in a way that is easy for students?,12/06/2017,CS
109,Motivating examples for switch/case in Java,12/06/2017,CS
110,How can I explain lambda calculus to my class?,12/06/2017,CS
111,Integrating Graph Theory into AP CS A,12/06/2017,CS
112,How to explain lambda expressions,13/06/2017,CS
113,How to bring attention to computational complexity?,13/06/2017,CS
114,Should CS students be doing their tests on paper?,13/06/2017,CS
115,Introducing the MVC pattern along with JavaFX,14/06/2017,CS
116,How to teach to write optimized code,14/06/2017,CS
117,Pseudocode or Flowcharts?,14/06/2017,CS
118,Interview lesson on  Computational Thinking ,14/06/2017,CS
119,Justification for an objects-early approach to introductory programming,14/06/2017,CS
120,Opportunities for Interdepartmental Collaboration,15/06/2017,CS
121,How can I help my students to think algorithmically?,15/06/2017,CS
122,Looking for a block-based programming language for AP CS P,15/06/2017,CS
123,Thoughts on copying and pasting code?,16/06/2017,CS
124,Intuitive example of an NP problem,16/06/2017,CS
125,When should I scrap my projector for a blackboard?,16/06/2017,CS
126,What would be a good first choice to teach game programming to beginners?,16/06/2017,CS
127,How is your teaching affected by how you learned?,16/06/2017,CS
128,Do you see the  Bimodal Distribution  too?,17/06/2017,CS
129,Do your students pay attention when you speak?,17/06/2017,CS
130,Explaining pointers to highschoolers,17/06/2017,CS
131,What to gather feedback on?,17/06/2017,CS
132,Principles of SOLID in OOP using analogy,18/06/2017,CS
133,What is the best layout for a Middle School computer lab?,18/06/2017,CS
134,What are some good examples of using a stack data structure?,18/06/2017,CS
135,Benefits of explaining low-level architecture in a programming class,18/06/2017,CS
136,How to teach the value of the command line in high school?,18/06/2017,CS
137,Introducing image processing - Should I teach the math,19/06/2017,CS
138,How do I convince my students that visual programming is real programming?,20/06/2017,CS
139,How to stress the importance of testing code?,20/06/2017,CS
140,Do you use any teaching assistant tool in your CS1 lab classes?,21/06/2017,CS
141,Should unit testing be taught in introductory programming classes?,21/06/2017,CS
142,How do I scaffold students toward building meaningful projects?,21/06/2017,CS
143,What statistics should be in a computer science degree?,21/06/2017,CS
144,How to deal with very low performing students?,21/06/2017,CS
145,Is asking students to debug existing code better than having them write new code?,22/06/2017,CS
146,How to overcome the TDD/BDD time fallacy,22/06/2017,CS
147,How important is learning Binary for first-year college students?,22/06/2017,CS
148,Can sharing learning stats be beneficial to guide beginner students?,23/06/2017,CS
149,Transition from Java to Python,24/06/2017,CS
150,Priority Queue practice vs examples,24/06/2017,CS
151,To what extent should UML be covered in the context of a degree?,24/06/2017,CS
152,Balance between teaching and projects in a club,24/06/2017,CS
153,How do I teach ethics in hacking using analogies?,25/06/2017,CS
154,Should test cases be made available to students for assessed assignments?,25/06/2017,CS
155,How should floating point inaccuracies be explained and justified?,25/06/2017,CS
156,A quick ruby crash course,25/06/2017,CS
157,Starting open source,25/06/2017,CS
158,Curriculum Design for a Unit on Alan Turing and His Impact on CS,25/06/2017,CS
159,Multi-client to server connection demonstration using analogy,26/06/2017,CS
160,How to teach a flipped course based on the AI MOOC?,26/06/2017,CS
161,How to prepare students for bias in industry,26/06/2017,CS
162,Demonstrating the possible dangers of SQL injection,27/06/2017,CS
163,Uses of high school Computer Science: where can it lead other than university CS?,27/06/2017,CS
164,Curriculum choice for AP Computer Science Principles,27/06/2017,CS
165,Dealing with students who are overly motivated,28/06/2017,CS
166,Talking about new/active subfields of CS to inspire students,28/06/2017,CS
167,How to supplement Khan Academy,28/06/2017,CS
168,How can I automate the grading of programming assignments?,28/06/2017,CS
169,How can I prepare CS majors for non-programming jobs?,29/06/2017,CS
170,Explaining access levels and visibility in OOP,29/06/2017,CS
171,Is it worthwhile for college professors to join SIGCSE?,29/06/2017,CS
172,Is it worth it for high school teachers to join SIGCSE?,29/06/2017,CS
173,How to teach competitive programming?,30/06/2017,CS
174,How to integrate CS when learning about DNA/RNA/protein,30/06/2017,CS
175,Event-driven or polling for beginning programming environments?,01/07/2017,CS
176,How to deal with students that don't like CS?,01/07/2017,CS
177,How should educators ensure their curriculum remains relevant over time?,01/07/2017,CS
178,Teaching  math function  vs.  CS function ,01/07/2017,CS
