ID,Question,Date,Class
925,Solvability of Systems of Diophantine Equations using Modular Reasoning,03/01/2017,maths
926,Looking for examples from the MCMC family of ideas,03/01/2017,maths
927,Good Textbook for combined Beginning and Intermediate Algebra Course,04/01/2017,maths
928, Sigma Notation  vs.  Summation Notation ,04/01/2017,maths
929,Names for laws involving implication and/or exponentiation,06/01/2017,maths
930,Resources for Inquiry-based Projects with Undergraduates,16/01/2017,maths
931, A  or  The  Cartesian plane?,20/01/2017,maths
932,Number theory for self-study students: books and computer languages,20/01/2017,maths
933,Applying inverse trigonometric functions,26/01/2017,maths
934,Using Substitution in place of the balance model,27/01/2017,maths
935,topics for an undergraduate Math seminar,30/01/2017,maths
936,Should I teach a subject I don't like?,08/02/2017,maths
937,Animation of graphing a function,09/02/2017,maths
938,Best way to find out what math topics a person struggles with when tutoring,15/02/2017,maths
939,Motivation in School,16/02/2017,maths
940,What is currently called geometry in high school?,18/02/2017,maths
941,"How are students messing up in this Khan Academy surface area problem? (right triangular prism: 3-4-5 triangular base, height of 11)",20/02/2017,maths
942,Project Based Learning (PBL) ideas for secondary math topics,21/02/2017,maths
943,"Which mental model, Webb's DoK, CCSM's Aspects of Rigor, or Bloom's Taxonomy, is most useful?",23/02/2017,maths
944,How to teach to draw graphs of quadratic equations without knowing calculus?,25/02/2017,maths
945, Good  and  Bad  student intuitions when teaching and learning mathematics,28/02/2017,maths
946,Student Conjectures without Oracular Professor,28/02/2017,maths
947,What is the pedagogical justification and history for using mnemonics to teach order of operations?,01/03/2017,maths
948,"Teaching new stats students confidence intervals, hypothesis testing, and other general techniques for inference",02/03/2017,maths
949,How does Project Euler come up with such good problems so rapidly?,03/03/2017,maths
950,"Why do some of my, usually international/Indian students, write limits to the left of the integral?",03/03/2017,maths
951,What are the  best  groups to use as examples while learning new concepts in algebra?,06/03/2017,maths
952,What are some strategies to remedy and accommodate dysgraphia?,06/03/2017,maths
953,Erasing students' work - etiquette/guidelines?,07/03/2017,maths
954,Greatest common divisor applications,10/03/2017,maths
955,Literature on student understanding of assumptions,10/03/2017,maths
956,How to catch students from different subjects' interest to math?,12/03/2017,maths
957,Moving from discrete probability distributions to continuous ones,14/03/2017,maths
958,Tips for Teaching Math in a Language Foreign to the Teacher,14/03/2017,maths
959,Tutoring a recalcitrant/awkward/exasperating student---special needs?,14/03/2017,maths
960,Grating mathematical phrases---How to correct?,16/03/2017,maths
961,Styles of visualization in geometry,17/03/2017,maths
962,Workshop about ODEs and connected rates of change (A-levels),17/03/2017,maths
963,calculus without analytic geometry,19/03/2017,maths
964,Has anybody used Mathematics in Civilization by Resnikoff and Wells or Journey through Genius by Dunham for a history of math class?,20/03/2017,maths
965,Where can I find a comparison of mathematical subjects taught for primary and secondary school around the world?,21/03/2017,maths
966,How to engage low-level students?,21/03/2017,maths
967,Do electronic calculators inhibit mathematical thinking?,25/03/2017,maths
968,Mindless use of  antisimplifications,26/03/2017,maths
969,Looking for a  Stable  College Algebra Textbook,28/03/2017,maths
970,Good Examples of Questions to have Students Ponder Over Without Paper,29/03/2017,maths
971,Notebook software for exploring integral approximation with finite sums?,04/04/2017,maths
972,How to respond to  solve this equation  in a basic algebra class,07/04/2017,maths
973,Resources for undergraduate knot theory,11/04/2017,maths
974,Introducing the concept of variables to kids using analogy,17/04/2017,maths
975,Common misconceptions in high school probability curriculum,18/04/2017,maths
976,How to best explain that the sum of conditional probabilities still sum to 1,20/04/2017,maths
977,What is most motivating way to introduce Fermat's Little Theorem,23/04/2017,maths
978,How to introduce Wilson's Theorem?,24/04/2017,maths
979,"Apply the inverse operation on both sides, or know the inverse function?",27/04/2017,maths
980,Calling on students by name (who do not volunteer) in math classes,01/05/2017,maths
981,Is it a good idea to have one or two or three classes on basic logic before teaching in Calculus?,03/05/2017,maths
982,Memorizing Trig Identities,04/05/2017,maths
983,Examples showing necessity and advantage of emperical definition of probability,06/05/2017,maths
984,How can I explain ratio problems without talking about ratio?,07/05/2017,maths
985,Do  gateway tests  work?,09/05/2017,maths
986,Is there a simple real-world problem I can use to motivate a formula for,09/05/2017,maths
987,Calculus 3 Teaching Demonstration for Community College Teaching Position,09/05/2017,maths
988,Standardized Exam for Statistics?,12/05/2017,maths
989,Is 'estimating' still considered a valuable skill?,13/05/2017,maths
990,Wording VS mathematical notations,14/05/2017,maths
991,Addressing fundamental math errors,15/05/2017,maths
992,What is the name of this discipline in mathematics education?,16/05/2017,maths
993,How to keep passion in students?,17/05/2017,maths
994,How to teach mass center for young people,20/05/2017,maths
995,Which calculus textbook is aligned the most with the CollegeBoard course description?,21/05/2017,maths
996,What's the best way to explain multivariable limit problems to students who are not familiar with proofs?,22/05/2017,maths
997,Constructive refutation of student misconception,25/05/2017,maths
998,What is the difference between  numeracy  and  number sense ?,27/05/2017,maths
999,Difference between whole numbers and decimal numbers,27/05/2017,maths
1000,How can I deal with the time pressure of teaching a short course?,29/05/2017,maths
1001,How to improve atmosphere in male-dominated courses,07/06/2017,maths
1002,Is induction or recursion easier to understand?,09/06/2017,maths
1003,Arguments against multiplication by 'stacking',11/06/2017,maths
1004,Multiplying two decimals using (camouflaged) binary representation,12/06/2017,maths
1005,What do the Common Core Standards expect secondary students to learn about logarithms or the number?,13/06/2017,maths
1006,"Why should kids learn how to use a compass and straightedge, and not rely on a drawing program?",13/06/2017,maths
1007,Textbook search: learning the math required to read the newspaper,16/06/2017,maths
1008,Can mathematics be learned by ONLY solving problems?,17/06/2017,maths
1009,what is the standard subdivision or classification of calculus related rates problems?,19/06/2017,maths
1010,What are good solar eclipse questions/projects for students?,21/06/2017,maths
1011,How much credit to give a short exam question with one error?,27/06/2017,maths
1012,Chat software for  online office hours ,29/06/2017,maths
1013,What is the ULTIMATE Calculus syllabus,30/06/2017,maths
1014,How much credit for a single arithmetic mistake?,01/07/2017,maths
1015,Problem  seeing  the perimeter of a figure,03/07/2017,maths
1016,Easy and good book on combinatorial problems,03/07/2017,maths
1017,Is it to the students' advantage to learn the language of infinitesimals?,03/07/2017,maths
1018,"When are arithmetic operator priorities typically taught in school, in relation to computer programming?",05/07/2017,maths
1019,How can I convince my brightest student of Cantor's theory?,09/07/2017,maths
1020,Can number theory help me create equations with nice solutions?,11/07/2017,maths
1021,May we permit identities to be established by equivalent equations?,11/07/2017,maths
1022,Surrounding a subject and strangling it to death versus concentrating on the main point,13/07/2017,maths
1023,Math for Social justice curriculum,16/07/2017,maths
1024,The Order in Which Arithmetic Operators are Taught,17/07/2017,maths
1025,The use of software to formulate problems in multivariable calculus,17/07/2017,maths
1026,Mathematics Self-Efficacy Questionnaire,21/07/2017,maths
1027,Activities for biology undergraduates taking integral calculus,24/07/2017,maths
1028,Drumming up interest in journal-problem-solving and competition prep,24/07/2017,maths
1029,Should I change my take-home exam policy because of one suspected cheater?,27/07/2017,maths
1030,Quantifying arthmetical skill,28/07/2017,maths
1031,What are the fundamentals of writing practice questions for early teen students?,28/07/2017,maths
1032,Are document cameras widely used at college level?,28/07/2017,maths
1033,Tutoring Mathematics at University,02/08/2017,maths
1034,Is there a base-independent term for numbers written out with decimal/binary points?,02/08/2017,maths
1035,"Shanghai math -- what is it, and how good is it?",07/08/2017,maths
1036,Teaching Completing the Square,08/08/2017,maths
1037,How to effectively use colors on a whiteboard?,08/08/2017,maths
1038,How to use these actions words for subtraction?,09/08/2017,maths
1039,What is  subtract 4 from 3 times X  and why?,09/08/2017,maths
1040,What's the word for addition and subtraction without borrowing or carrying over?,11/08/2017,maths
1041,"Functions, Domains, and Ranges in Precalculus",13/08/2017,maths
1042,Definition of root of equation/expression,14/08/2017,maths
1043,Simple real world examples that violate group axioms,14/08/2017,maths
1044,Dealing with Resisting Students,16/08/2017,maths
1045,Electronic devices to replace pencil and paper,16/08/2017,maths
1046,Are Proficiency Strands Hierarchical?,21/08/2017,maths
1047,"As it is appears here, how many constants do you see in",23/08/2017,maths
1048,What did math educators think about the transition to widespread classroom use of calculators?,23/08/2017,maths
1049,Resources for high school teachers about APOS theory,23/08/2017,maths
1050,How to teach a weak student?,28/08/2017,maths
1051,Is there a resource that formally develops the topics of elementary algebra?,29/08/2017,maths
1052,Why are m and b used in the slope-intercept equation of a line?,29/08/2017,maths
1053,"Interesting math lesson on integers, Euclid's Elements, polyhedra, prime numbers, non-Euclidean geometry, arithmetic functions or graphs",30/08/2017,maths
1054,Content for a two-quarter class on abstract algebra,30/08/2017,maths
1055,Can we explain to undergraduates how points make a line?,05/09/2017,maths
1056,Terminology: degree of coefficient?,06/09/2017,maths
1057,Recommendation for an introductory operations research book,07/09/2017,maths
1058,How to become a good teacher in the classroom when first starting to teach?,10/09/2017,maths
1059,Why do we teach even and odd functions?,11/09/2017,maths
1060,Introduction of the power set as a collection of *labels* or *names* for subsets,12/09/2017,maths
1061,Assigning TA hours: Professional software implementing Student-project allocation with preferences algorithms,14/09/2017,maths
1062,Determining the first digit of the Quotient using hand long division efficiently?,16/09/2017,maths
1063,How to explain how to get an end point of a segment from the other end point and it's midpoint?,18/09/2017,maths
1064,Application of perpendicular lines real world,19/09/2017,maths
1065,Explaining genus to students,27/09/2017,maths
1066,Can't use samsung tablet in class?,27/09/2017,maths
1067,Software and techniques for creating short maths animation videos for kids,29/09/2017,maths
1068,Continuous evaluation/Participation points,01/10/2017,maths
1069,How can we focus students on the various data types in multivariable calculus?,01/10/2017,maths
1070,What does the research say about direct instruction vs. student centered approaches,02/10/2017,maths
1071,Course of action with 13 year old with weak sense of number and operations,02/10/2017,maths
1072,Why bother calculating the inverse of 3 by 3 matrix?,03/10/2017,maths
1073,How do you explain straightness to a 5-year-old?,03/10/2017,maths
1074,The sequence of chapters,04/10/2017,maths
1075,A question about Vector Analysis problems,04/10/2017,maths
1076,Should we finish algebra before starting geometry?,05/10/2017,maths
1077,Text book on real analysis for undergrad in statistics,06/10/2017,maths
1078,When analytic form of derivatives is preferred over numerical form?,07/10/2017,maths
1079,Advice for Community College Interview Statistics Demonstration,08/10/2017,maths
1080,Using number theory instead geometry to introduce proof in Basic School?,09/10/2017,maths
1081,How cheating on homework affects student questions,11/10/2017,maths
1082,"How About MCQs, True/False, and Fill-In-The-Blank Questions in Undergrad-Level Topology, Analysis, And Abstract Algebra Exams?",11/10/2017,maths
1083,Monodromy examples for undergraduates,11/10/2017,maths
1084,Examples of basic non-commutative rings,14/10/2017,maths
1085,Is there any difference between saying that say,14/10/2017,maths
1086,Reference or term for connected sage-on-the-stage?,16/10/2017,maths
1087,"Alternative ways of thinking about the one-variable Riemann integral for elementary calculus,",18/10/2017,maths
1088,How to teach multiplication between integers for the first time,21/10/2017,maths
1089,Are there any good exercises on point-slope form of a linear equation by itself?,22/10/2017,maths
1090,How can I get a better result making math videos with a tablet?,22/10/2017,maths
1091,Unique steps leading to a non-unique answer,22/10/2017,maths
1092,Book request: teaching proving and reasoning at an American university,22/10/2017,maths
1093,Difficulty with word problem interpretation,25/10/2017,maths
1094,How to design multiple choice questions,27/10/2017,maths
1095,"When discussing inverse functions, how can our notation and methods reinforce student understanding?",28/10/2017,maths
1096,Tutoring Discrete Mathematics,29/10/2017,maths
1097,How do you explain the whole integer and fractions subject to a kid in 6th grade?,30/10/2017,maths
1098,How to teach abstract algebra for the first time?,02/11/2017,maths
1099,How to explain Chinese remainder theorem?,03/11/2017,maths
1100,Dissemination of mistakes in international texts such as the IGCSE,03/11/2017,maths
1101,Writing Fractions  Correctly ,03/11/2017,maths
1102,Ideas for a 2 weeks project focused in polynomial functions,03/11/2017,maths
1103, Seeing  GCD and LCM in Word Problems,04/11/2017,maths
1104,Stating identity is not the same as knowing value,05/11/2017,maths
1105,Searching activities with  Find the error  strategy for learning maths,06/11/2017,maths
1106,Why isn't the term *inequation* widely used in English?,06/11/2017,maths
1107,Should basic exercises be solved before formulas are introduced?,06/11/2017,maths
1108,Applications of notable points and lines of a triangle,08/11/2017,maths
1109,Motivation for Fibonacci: Bees,08/11/2017,maths
1110,L'Hopital's Rule: Why do we need it?,08/11/2017,maths
1111,Why teach reference angles?,09/11/2017,maths
1112,How to teach sum of fractions to students?,13/11/2017,maths
1113,Cognitive traps in very early set theory,13/11/2017,maths
1114,Problem based learning (PBL) for pupils with educational difficulties,15/11/2017,maths
1115,Material on tutoring university level math classes,16/11/2017,maths
1116, Personalized System of Instruction  (PSI) vs.  Individually Prescribed Instruction  (IPI),20/11/2017,maths
1117,What is known about discrimination and difficulty in test questions?,21/11/2017,maths
1118,Tasks that encourage argumentation,24/11/2017,maths
1119,Odd or Even-Numbered Answers in Textbooks,26/11/2017,maths
1120,Simple initial value problems - pros and cons of different methods,27/11/2017,maths
1121,Is the Nomenclature of Triangle Congruency Proofs Consistent?,30/11/2017,maths
1122,Deriving Jerk Equations without using Calculus,01/12/2017,maths
