ID,Date,negative,positive,sentiment
6,23/05/2017,1,0,-1
12,23/05/2017,0,1,1
13,23/05/2017,0,2,2
17,23/05/2017,0,1,1
24,23/05/2017,0,1,1
25,24/05/2017,0,1,1
28,24/05/2017,1,0,-1
30,24/05/2017,0,1,1
36,24/05/2017,0,1,1
37,24/05/2017,1,1,0
44,26/05/2017,0,1,1
45,26/05/2017,1,0,-1
49,27/05/2017,1,1,0
52,27/05/2017,0,1,1
54,28/05/2017,2,0,-2
56,28/05/2017,1,0,-1
59,30/05/2017,0,1,1
61,30/05/2017,1,1,0
62,30/05/2017,1,0,-1
68,01/06/2017,0,1,1
71,02/06/2017,0,1,1
73,02/06/2017,0,1,1
74,03/06/2017,1,1,0
75,03/06/2017,1,0,-1
78,03/06/2017,0,1,1
79,04/06/2017,1,1,0
83,05/06/2017,0,1,1
86,06/06/2017,1,0,-1
88,07/06/2017,0,1,1
90,07/06/2017,0,1,1
91,07/06/2017,0,2,2
92,07/06/2017,0,1,1
93,07/06/2017,1,1,0
94,08/06/2017,0,1,1
95,08/06/2017,2,0,-2
98,09/06/2017,0,1,1
101,09/06/2017,0,1,1
107,11/06/2017,0,1,1
108,12/06/2017,0,1,1
124,16/06/2017,1,1,0
125,16/06/2017,1,0,-1
126,16/06/2017,0,1,1
132,18/06/2017,0,1,1
134,18/06/2017,0,1,1
135,18/06/2017,0,1,1
139,20/06/2017,1,0,-1
142,21/06/2017,0,1,1
146,22/06/2017,1,0,-1
147,22/06/2017,0,1,1
148,23/06/2017,0,1,1
155,25/06/2017,1,0,-1
156,25/06/2017,1,0,-1
161,26/06/2017,1,0,-1
163,27/06/2017,0,1,1
165,28/06/2017,0,1,1
166,28/06/2017,0,1,1
171,29/06/2017,0,1,1
172,29/06/2017,0,1,1
173,30/06/2017,0,1,1
182,01/07/2017,2,0,-2
184,02/07/2017,0,1,1
185,02/07/2017,0,1,1
186,02/07/2017,0,1,1
187,02/07/2017,0,1,1
189,03/07/2017,0,1,1
190,03/07/2017,1,1,0
191,03/07/2017,0,1,1
192,03/07/2017,0,1,1
194,04/07/2017,0,1,1
196,05/07/2017,1,1,0
