Date,Record ID,Approaches to teaching,Assessment,Curriculum,Differentiation,Fun,Not engaged,Problem solving,Resources,Students lack of understanding,Teachers subject knowledge,Technology issues,Terminology
02/01/2017,2,,,,,,1,,,,,,
03/01/2017,4,1,,,,,,,,,,,
03/01/2017,5,,,,,,,,1,,1,,
04/01/2017,6,,,,,,,,1,,,,
04/01/2017,7,,,,,,,,,,,,1
06/01/2017,9,,,,,,,,,,,,1
16/01/2017,11,,,,,,,,1,,,,
20/01/2017,13,,,,,,,,,,,,1
20/01/2017,14,,,,,,,,1,,,,
26/01/2017,16,,,,,,,,,,,,1
27/01/2017,17,1,,,,,,,,,,,
30/01/2017,22,,,1,,,,,,,,,
08/02/2017,25,,,,,,,,,,1,,
09/02/2017,26,,,,,,,,1,,,,
15/02/2017,28,,,1,,,,,,1,,,
16/02/2017,29,,,,1,,1,,,,,,
18/02/2017,30,,,1,,,,,,,,,
20/02/2017,31,,,,,,,,,1,,,
21/02/2017,32,,,,,,,,1,,,,
23/02/2017,33,1,,,,,,,,,,,
25/02/2017,35,1,,,,,,,,,,,
28/02/2017,36,1,,,,,,,,,,,
28/02/2017,37,,,,,,,,1,,,,
01/03/2017,38,,,,,,,,,,,,1
02/03/2017,39,1,,,,,,,,1,,,
03/03/2017,40,,,,,,,,,,,,
03/03/2017,41,,,,,,,,,,,,1
06/03/2017,42,1,,,,,,,,,,,
06/03/2017,43,1,,,1,,,,,,,,
07/03/2017,44,,,,,,,,,,,,
10/03/2017,45,1,,,,,,,,,,,
10/03/2017,46,,,,,,,,,,,,1
12/03/2017,48,1,,,1,,1,,,1,,,
14/03/2017,49,1,,,,,,,,,,,
14/03/2017,50,1,,,1,,,,,,,,
14/03/2017,51,,,,1,,1,,,1,,,
16/03/2017,52,,,,,,,,,,,,1
17/03/2017,53,,,,1,,,,,,,,
17/03/2017,54,,,,,1,,,1,,,,
19/03/2017,55,1,,,,,,,1,,,,
20/03/2017,56,,,,,,,,1,,,,
21/03/2017,57,,,1,,,,,,,,,
21/03/2017,58,,,,1,,1,,,,,,
25/03/2017,59,,,,,,1,,,,,,
26/03/2017,60,,,1,,,,,,,,,
28/03/2017,61,,,,,,,,1,,,,
29/03/2017,62,,,,,,,,1,,,,
04/04/2017,63,,,,,,,,1,,,,
07/04/2017,64,1,,,,,,,,,,,1
11/04/2017,65,,,,,,,,1,,,,
17/04/2017,67,1,,,,,,,,,,,
18/04/2017,68,,,,,,,,,1,,,
20/04/2017,69,1,,,,,,,,,,,
23/04/2017,72,1,,,,,,,1,,,,
24/04/2017,73,1,,,,,,,,,,,
27/04/2017,74,,,,,,,,,,,,1
01/05/2017,76,1,,,1,,,,,,,,
03/05/2017,78,1,,,,,,,,,,,
04/05/2017,79,,,1,,,,,,,,,
06/05/2017,80,,,,,,,,,,,,1
07/05/2017,82,1,,,,,,,,,,,
09/05/2017,83,,1,,,,,,,,,,
09/05/2017,84,1,,,,,,,,,,,
09/05/2017,85,,,1,,,,,,,,,
12/05/2017,86,,1,,,,,,,,,,
13/05/2017,89,,,1,,,,,,1,,,
14/05/2017,90,,,,,,,,,,,,1
15/05/2017,91,1,,,,,,1,,,,,
16/05/2017,92,,,,,,,,,1,,,1
17/05/2017,93,,,,,,1,,,,,,
20/05/2017,95,,,,,,,,1,,,,
21/05/2017,96,,,,,,,,1,,,,
22/05/2017,97,1,,,,,,,,,,,
25/05/2017,98,,,,,,,,,1,,,1
27/05/2017,100,,,,,,,,,,,,1
27/05/2017,101,1,,,,,,,,1,,,
29/05/2017,102,,,,,,,,,,,,
07/06/2017,104,,,,,,1,,,,,,
09/06/2017,106,,,,,,,1,,1,,,
11/06/2017,107,1,,,,,,,,,,,
12/06/2017,108,1,,,,,,,,,,,
13/06/2017,109,,,1,,,,,,,,,
13/06/2017,110,,,1,,,,,,,,,
16/06/2017,111,,,,,,,,1,,,,
17/06/2017,112,1,,,,,,1,,,,,
19/06/2017,114,,,,,,,,,,,,1
21/06/2017,115,,,,,,,,1,,,,
27/06/2017,118,,1,,,,,,,,,,
29/06/2017,119,,,,,,,,1,,,,
30/06/2017,120,,,1,,,,,,,,,
01/07/2017,121,,1,,,,,,,,,,
03/07/2017,122,,,,,,,,1,,,,
03/07/2017,123,,,,,,,1,,1,,,
03/07/2017,124,1,,1,,,,,,,,,
05/07/2017,125,,,1,,,,,,,,,
09/07/2017,127,1,,,1,,,,,,,,
11/07/2017,128,1,,,,,,,,,,,
11/07/2017,129,,,,,,,,,,,,1
13/07/2017,130,1,,,,,,,1,,,,
16/07/2017,133,1,,1,,,,,,,,,
17/07/2017,134,,,1,,,,,,,,,
17/07/2017,135,,,,,,,,1,,,,
21/07/2017,137,,1,,,,,,,,,,
24/07/2017,138,,,1,,,,,,,,,
24/07/2017,139,,,,,1,1,1,,,,,
27/07/2017,141,,1,,,,1,,,,,,
28/07/2017,142,,,,,,,,,,1,,
28/07/2017,143,,1,,,,,,,,,,
28/07/2017,144,1,,,,,,,,,,,
02/08/2017,145,1,,,,,,,,,,,
02/08/2017,146,,,,,,,,,,,,1
07/08/2017,147,1,,,,,,,,,,,
08/08/2017,148,1,,,,,,,,,,,
08/08/2017,149,1,,,,,,,,1,,,
09/08/2017,150,,,,,,,,,,,,1
09/08/2017,151,1,,,,,,,,1,,,1
11/08/2017,155,,,,,,,,,,,,1
13/08/2017,156,1,,,,,,,,,,,
14/08/2017,157,,,,,,,,,,,,1
14/08/2017,158,1,,,,,,,,,,,
16/08/2017,159,,,,,,,,1,,,,
16/08/2017,160,1,,,,,1,,,1,,,
21/08/2017,161,,,1,,,,,,,,,
23/08/2017,163,,,,,,,,,,,,
23/08/2017,164,,,,,,,,,,,,1
23/08/2017,165,,,,,,,,1,,,,
28/08/2017,166,1,,,1,,,,,1,,,
29/08/2017,167,,,,,,,,,,,,1
29/08/2017,168,,,,,,,,1,,,,1
30/08/2017,169,,,1,,,,,,,,,
30/08/2017,171,,,1,,,,,,,,,
05/09/2017,174,1,,,,,,,,1,,,1
06/09/2017,175,,,,,,,,,,,,1
07/09/2017,176,,,,,,,,1,,,,
10/09/2017,177,1,,,,,,,,,,,
11/09/2017,178,,,1,,,,,,,,,
12/09/2017,179,1,,,,,,,,,,,
14/09/2017,180,,,,,,,,1,,,,
16/09/2017,182,1,,,,,,,,,,,
18/09/2017,183,1,,,,,,,,1,,,
19/09/2017,184,1,,,,,,,,,,,
27/09/2017,186,,,,,,,,1,,,,
27/09/2017,187,,,,,,,,,,,1,
29/09/2017,189,,,,,,,,1,,,,
01/10/2017,191,,1,,,,,,,,,,
01/10/2017,192,1,,,,,,,,1,,,
02/10/2017,193,1,,,,,,,1,,,,
02/10/2017,194,1,,,,,,,,1,,,
03/10/2017,195,,,1,,,,,,,,,
03/10/2017,196,1,,,,,,,,1,,,
04/10/2017,197,,,1,,,,,,,,,
04/10/2017,198,,,,,,,,1,,,,
05/10/2017,199,,,1,,,,,,,,,
06/10/2017,200,,,,,,,,1,,,,
07/10/2017,201,,,1,,,,,,,,,
08/10/2017,202,,,1,,,,,,,,,
09/10/2017,203,,,,,,,,1,,,,
11/10/2017,204,,1,,,,,,,,,,
11/10/2017,205,1,,,,,,,,,,,
11/10/2017,206,,1,,,,1,,,,,,
14/10/2017,209,1,,,,,,,,,,,
14/10/2017,210,,,,,,,,,,,,1
16/10/2017,211,1,,,,,,,,,,,
18/10/2017,213,1,,,,,,,,,,,
21/10/2017,214,1,,,,,,,,,,,
22/10/2017,215,,,,,,,,1,,,,
22/10/2017,216,,,,,,,,1,,,,
22/10/2017,217,,,,,,,,1,,,,
22/10/2017,218,1,,,,,,,1,,,,
25/10/2017,219,1,,,,,,,,1,,,
27/10/2017,221,,1,,,,,,,,,,
28/10/2017,224,1,,,,,,,,,,,
29/10/2017,226,1,,,,,,,,,,,
30/10/2017,227,1,,,,,,,,1,,,
02/11/2017,228,1,,,,,,,,,,,
03/11/2017,229,,,,,,,,,,,,
03/11/2017,230,,,,,,,,,,,,1
03/11/2017,231,,,1,,,,,,,,,
03/11/2017,232,1,,,,,1,,,,,,
04/11/2017,234,1,,,,,,1,,,,,
05/11/2017,235,1,,,,,,,,1,,,
06/11/2017,236,,,,,,,,1,,,,
06/11/2017,237,,,,,,,,,,,,1
06/11/2017,238,1,,,,,,,,,,,
08/11/2017,239,,,,,,,,1,,,,
08/11/2017,241,1,,,,,,,,,,,
08/11/2017,242,1,,,,,,,,,1,,
09/11/2017,243,,,1,,,,,,,,,
13/11/2017,244,1,,,,,,,,,,,
13/11/2017,245,1,,,,,,,,1,,,
15/11/2017,246,1,,,1,,1,,,,,,
16/11/2017,247,,,,,,,,1,,,,
20/11/2017,248,1,,,,,,,,,,,
21/11/2017,251,,1,,,,,,,,,,
24/11/2017,252,,,,,,,,1,,,,
26/11/2017,253,,,,,,,,,,,,
27/11/2017,254,1,,,,,,1,,,,,
30/11/2017,256,,,,,,,,,,,,1
01/12/2017,259,1,,,,,,,,,,,
03/12/2017,260,,,,,,,,,,,,1
04/12/2017,262,,,,,,,,,,,1,
04/12/2017,263,,,1,,,,,,,,,
05/12/2017,264,,,,,,1,,,,,,
06/12/2017,265,,,1,,1,,,,,,,
07/12/2017,266,,,,,,,,1,,,,
08/12/2017,268,,,,,,,,1,,,,
09/12/2017,269,,,1,,,,,,,,,
11/12/2017,270,,,,,,,,,,,,1
11/12/2017,271,,,,,,,,1,,,,
13/12/2017,272,,,,,,,,1,,,,
13/12/2017,273,1,,,,,,,,,,,
20/12/2017,277,,1,,,,,,,,,,
22/12/2017,278,1,,,,,,,,,,,
24/12/2017,279,1,,,,,,1,,,,,
25/12/2017,280,,,,,,,,1,,,,
26/12/2017,281,1,,,,,,,,1,,,
27/12/2017,283,,1,,,,,,,,,,
27/12/2017,284,,,1,1,,,,,,,,
30/12/2017,286,,,1,,,,,,,,,
02/01/2018,290,,1,,,,,,,,,,
07/01/2018,292,1,,,,,,,,,,,
08/01/2018,293,1,,,,,,,,,,,
08/01/2018,295,1,,,,,,,,,,,
14/01/2018,296,,,,1,,,,,,,,
15/01/2018,298,1,,,,,,,,1,,,
16/01/2018,299,1,,1,,,,,,,,,
23/01/2018,302,,,,,,,,,,,,
23/01/2018,303,,,,,,,,,,,,1
24/01/2018,304,,,,,,,,,,,,1
24/01/2018,305,,,1,,,,,1,,,,
24/01/2018,306,1,,,,,,,,,1,,
27/01/2018,307,,,,,,,,1,,,,
28/01/2018,308,1,,,,,,,,,,,
29/01/2018,309,,,,,,,,,,,,1
29/01/2018,310,,,1,,,,,,,,,
31/01/2018,311,,,,,,,,,,,,1
07/02/2018,315,,,1,,,,,,,,,
08/02/2018,316,1,,,,,,,,,,,1
09/02/2018,317,1,,,,,,,,1,,,
11/02/2018,319,,,,,,,,1,,,,
11/02/2018,320,,,,,,,,1,,,,
12/02/2018,322,,,1,,,,,,,,,
12/02/2018,323,1,,,,,1,,,1,,,
13/02/2018,324,1,,,,,,1,,1,,,
16/02/2018,326,1,,,,,,,,,,,1
19/02/2018,328,,,,,,,,1,,,,
19/02/2018,329,1,,,,,,,1,,,,
20/02/2018,330,1,,,,,,,,,,,
22/02/2018,331,1,,,,,,,,,,,
22/02/2018,332,,1,,,,,,,,,,
23/02/2018,333,1,,,,,,,,,,,
26/02/2018,334,1,,,,,,,,,,,
26/02/2018,335,,,,,,,,1,,,,
26/02/2018,336,,,,,,,,,,,1,1
27/02/2018,337,,,,,,,,,,,,1
27/02/2018,338,,,1,,,,,,,,,
01/03/2018,339,1,,,,,,,,,,,1
01/03/2018,340,,,,,,,,1,1,,,
02/03/2018,341,,,,,,,,1,,,,
02/03/2018,342,,,1,,,,,,,,,1
03/03/2018,343,1,,,,,,,,1,,,
04/03/2018,345,1,,,,,,,,,,,
04/03/2018,346,1,,,,,1,,,,,,
05/03/2018,347,1,,,,,,,,1,,,
06/03/2018,348,,,,,,,,1,,,,
09/03/2018,351,1,,,,,,,,,,,
13/03/2018,352,1,,,,,,,,,,,
15/03/2018,353,,,,,1,,,1,,,,
16/03/2018,354,,,,,,,,,,,,
16/03/2018,355,,,,,,,,1,,,,
